4442,Zwenkau
4451,Borsdorf
4463,Großpösna
4509,Delitzsch
4509,Krostitz
4509,Löbnitz (Sachsen)
4509,Schönwölkau
4509,Wiedemar
4519,Rackwitz
4523,Elstertrebnitz
4523,Pegau
4539,Groitzsch
4552,Borna
4564,Böhlen (Sachsen)
4565,Regis-Breitingen
4567,Kitzscher
4571,Rötha
4575,Neukieritzsch
4643,Geithain
4651,Bad Lausick
4654,Frohburg
4668,Grimma
4668,Otterwisch
4668,Parthenstein
4680,Colditz
4683,Belgershain
4683,Naunhof
4687,Trebsen/Mulde
4703,Leisnig
4720,Döbeln
4720,Großweitzschen
4720,Zschaitz-Ottewig
4736,Waldheim
4741,Roßwein
4746,Hartha
4749,Ostrau
4758,Cavertitz
4758,Liebschützberg
4758,Oschatz
4758,Naundorf (Sachsen)
4769,Naundorf (Sachsen)
4769,Mügeln
4774,Dahlen
4779,Wermsdorf
4808,Thallwitz
4808,Wurzen
4808,Lossatal
4821,Brandis
4824,Brandis
4827,Machern
4828,Bennewitz
4838,Doberschütz
4838,Eilenburg
4838,Jesewitz
4838,Zschepplin
4838,Laußig
4849,Laußig
4849,Bad Düben
4860,Dreiheide
4860,Torgau
4861,Torgau
4862,Mockrehna
4874,Belgern-Schildau
4880,Dommitzsch
4880,Elsnig
4880,Trossin
4886,Arzberg (Sachsen)
4886,Beilrode
4889,Belgern-Schildau
7919,Pausa-Mühltroff
7952,Pausa-Mühltroff
7985,Elsterberg
8056,Zwickau
8058,Zwickau
8060,Zwickau
8062,Zwickau
8064,Zwickau
8066,Zwickau
8107,Hartmannsdorf bei Kirchberg
8107,Kirchberg (Sachsen)
8112,Wilkau-Haßlau
8115,Lichtentanne
8118,Hartenstein (Sachsen)
8132,Mülsen
8134,Langenweißbach
8134,Wildenfels
8141,Reinsdorf (Sachsen)
8144,Hirschfeld (Sachsen)
8147,Crinitzberg
8209,Auerbach (Vogtland)
8223,Grünbach (Sachsen)
8223,Neustadt (Vogtland)
8223,Werda
8223,Falkenstein (Vogtland)
8228,Rodewisch
8233,Treuen
8236,Ellefeld
8237,Steinberg (Vogtland)
8239,Falkenstein (Vogtland)
8239,Bergen (Vogtland)
8248,Klingenthal
8258,Markneukirchen
8261,Schöneck (Vogtland)
8262,Muldenhammer
8267,Klingenthal
8280,Aue-Bad Schlema
8289,Schneeberg (Erzgebirge)
8294,Lößnitz
8297,Zwönitz
8301,Aue-Bad Schlema
8304,Schönheide
8309,Eibenstock
8315,Lauter-Bernsbach
8321,Zschorlau
8324,Bockau
8328,Stützengrün
8340,Schwarzenberg/Erzgebirge
8344,Grünhain-Beierfeld
8349,Johanngeorgenstadt
8352,Raschau-Markersbach
8359,Breitenbrunn/Erzgebirge
8371,Glauchau
8373,Remse
8393,Dennheritz
8393,Meerane
8393,Schönberg (Sachsen)
8396,Oberwiera
8396,Waldenburg
8412,Werdau
8427,Fraureuth
8428,Langenbernsdorf
8451,Crimmitschau
8459,Neukirchen/Pleiße
8468,Heinsdorfergrund
8468,Limbach (Vogtland)
8468,Reichenbach im Vogtland
8485,Lengenfeld (Vogtland)
8491,Limbach (Vogtland)
8491,Reichenbach im Vogtland
8491,Netzschkau
8496,Neumark (Vogtland)
8499,Reichenbach im Vogtland
8523,Plauen
8525,Plauen
8527,Plauen
8527,Rosenbach (Vogtland)
8529,Plauen
8538,Weischlitz
8539,Pausa-Mühltroff
8539,Rosenbach (Vogtland)
8541,Plauen
8541,Neuensalz
8541,Theuma
8543,Pöhl
8547,Plauen
8548,Rosenbach (Vogtland)
8606,Bösenbrunn
8606,Oelsnitz (Vogtland)
8606,Tirpersdorf
8606,Triebel (Vogtland)
8626,Adorf (Vogtland)
8626,Eichigt
8626,Mühlental
8645,Bad Elster
8648,Bad Brambach
9111,Chemnitz
9112,Chemnitz
9113,Chemnitz
9114,Chemnitz
9116,Chemnitz
9117,Chemnitz
9119,Chemnitz
9120,Chemnitz
9122,Chemnitz
9123,Chemnitz
9125,Chemnitz
9126,Chemnitz
9127,Chemnitz
9128,Chemnitz
9130,Chemnitz
9131,Chemnitz
9212,Limbach-Oberfrohna
9217,Burgstädt
9221,Neukirchen/Erzgebirge
9224,Chemnitz
9228,Chemnitz
9232,Hartmannsdorf bei Chemnitz
9235,Burkhardtsdorf
9236,Claußnitz
9241,Mühlau (Sachsen)
9243,Niederfrohna
9244,Lichtenau (Sachsen)
9247,Chemnitz
9249,Taura
9306,Erlau (Sachsen)
9306,Königsfeld (Sachsen)
9306,Königshain-Wiederau
9306,Rochlitz
9306,Seelitz
9306,Wechselburg
9306,Zettlitz
9322,Penig
9326,Geringswalde
9328,Lunzenau
9337,Bernsdorf (Landkreis Zwickau)
9337,Callenberg
9337,Hohenstein-Ernstthal
9350,Lichtenstein (Sachsen)
9353,Oberlungwitz
9355,Gersdorf
9356,Sankt Egidien
9366,Niederdorf (Sachsen)
9366,Stollberg/Erzgebirge
9376,Oelsnitz/Erzgebirge
9380,Thalheim/Erzgebirge
9385,Lugau/Erzgebirge
9387,Jahnsdorf/Erzgebirge
9390,Gornsdorf
